,corp_code,corp_name,stock_code
1744,01109715,DSC인베스트먼트,241520
1745,00545114,랩지노믹스,084650
1746,00295857,코다코,046070
1747,00390903,우주일렉트로,065680
1748,01810477,노타,486990
1749,00349732,코나아이,052400
1750,01467503,뉴키즈온,462310
1751,00292434,인트론바이오,048530
1752,01590980,심플랫폼,444530
1753,00642541,제이에스링크,127120
1754,01022902,애드바이오텍,179530
1755,01344831,딥노이드,315640
1756,00118804,동진쎄미켐,005290
1757,01506990,옵티코어,380540
1758,01047707,포톤,208710
1759,00273420,이스트소프트,047560
1760,00397058,엠게임,058630
1761,01935183,삼성스팩11호,0071M0
1762,00531078,유비온,084440
1763,00311216,에이치엔에스하이텍,044990
1764,00843900,육일씨엔에쓰,191410
1765,01215618,와이엠텍,273640
1766,00110583,DH오토웨어,025440
1767,00616290,이엠넷,123570
1768,00403766,한국첨단소재,062970
1769,01498974,큐리옥스바이오시스템즈,445680
1770,00526678,동방선기,099410
1771,00273439,메디아나,041920
1772,00470829,인티큐브,070590
1773,00977377,에이비온,203400
1774,00155948,로젠,033290
1775,01290248,스코넥,276040
1776,01325429,지아이에스,306620
1777,00162911,한일사료,005860
1778,00139719,와이지-원,019210
1779,01379563,에스팀,458350
1780,00362201,세운메디칼,100700
1781,00862880,새빗켐,107600
1782,01309795,알로이스,297570
1783,00961507,케일럼,258610
1784,00876908,모트렉스,118990
1785,01480708,HEM파마,376270
1786,00444329,위메이드,112040
1787,00482426,인화정공,101930
1788,01179617,한국비엔씨,256840
1789,01257872,에스프리즘,288620
1790,00563837,제로투세븐,159580
1791,01787355,나라스페이스테크놀로지,478340
1792,01948220,미래에셋비전스팩11호,0099W0
1793,01949195,하나36호스팩,0101C0
1794,00138367,플레이위드,023770
1795,01207716,앱코,129890
1796,00369213,폴라리스AI,039980
1797,00143226,엠투엔,033310
1798,00340096,미래에셋벤처투자,100790
1799,00166528,서암기계공업,100660
1800,00175623,ES큐브,050120
1801,01370322,삼진식품,0013V0
1802,01012640,슈어소프트테크,298830
1803,00104120,광진실업,026910
1804,01524507,핀텔,291810
1805,00651017,나우IB,293580
1806,00980043,비큐AI,148780
1807,01071041,CJ 바이오사이언스,311690
1808,00876166,KBG,318000
1809,01954832,유진스팩12호,0105P0
1810,00959229,세종메디칼,258830
1811,01934935,KB제33호스팩,0072Z0
1812,01235296,셀리드,299660
1813,00591441,어보브반도체,102120
1814,00683007,엑스큐어,070300
1815,00397289,오텍,067170
1816,00550082,캔버스엔,210120
1817,00781202,파이온엑스,900100
1818,01336373,메드팩토,235980
